import time: self [us] | cumulative | imported package
import time:       365 |        467 |         blinker.base
import time:      1232 |       1699 |       blinker
import time:       222 |       1920 |     mongoengine.signals
import time:       291 |        291 |         mongoengine.errors
import time:       143 |        434 |       mongoengine.base.common
import time:        82 |         82 |         mongoengine.common
import time:       305 |        387 |       mongoengine.base.datastructures
import time:       439 |        439 |         mongoengine.base.fields
import time:       426 |        865 |       mongoengine.base.document
import time:       227 |        227 |           mongoengine.queryset.field_list
import time:       314 |        314 |                 mongoengine.context_managers
import time:       222 |        222 |                 mongoengine.queryset.transform
import time:       358 |        358 |                 mongoengine.queryset.visitor
import time:      1038 |       1932 |               mongoengine.queryset.base
import time:       209 |       2140 |             mongoengine.queryset.queryset
import time:        98 |       2237 |           mongoengine.queryset.manager
import time:       194 |       2657 |         mongoengine.queryset
import time:       332 |       2989 |       mongoengine.base.metaclasses
import time:       114 |       4786 |     mongoengine.base
import time:       408 |       7114 |   mongoengine.document
import time:       132 |        132 |             gridfs.errors
import time:       208 |        208 |             gridfs.grid_file_shared
import time:       687 |       1026 |           gridfs.asynchronous.grid_file
import time:       153 |       1179 |         gridfs.asynchronous
import time:        12 |       1190 |       gridfs.asynchronous.grid_file
import time:       540 |        540 |           gridfs.synchronous.grid_file
import time:       111 |        651 |         gridfs.synchronous
import time:        12 |        662 |       gridfs.synchronous.grid_file
import time:       142 |       1993 |     gridfs
import time:       132 |        132 |       dateutil._version
import time:       246 |        377 |     dateutil
import time:       571 |        571 |         six
import time:       176 |        176 |         dateutil._common
import time:        21 |         21 |           six.moves
import time:       312 |        312 |           dateutil.tz._common
import time:       136 |        136 |           dateutil.tz._factories
import time:        11 |         11 |             six.moves.winreg
import time:       242 |        252 |           dateutil.tz.win
import time:       707 |       1425 |         dateutil.tz.tz
import time:      1028 |       3199 |       dateutil.parser._parser
import time:       319 |        319 |       dateutil.parser.isoparser
import time:       151 |       3667 |     dateutil.parser
import time:       179 |        179 |     mongoengine.base.utils
import time:       702 |        702 |       PIL._version
import time:       245 |        947 |     PIL
import time:      1824 |       1824 |       PIL.ExifTags
import time:       112 |        112 |         PIL._deprecate
import time:       323 |        434 |       PIL.ImageMode
import time:       524 |        524 |       PIL.TiffTags
import time:       213 |        213 |       PIL._binary
import time:       235 |        235 |         PIL._typing
import time:       184 |        418 |       PIL._util
import time:       285 |        285 |         defusedxml.common
import time:       132 |        416 |       defusedxml
import time:       155 |        155 |           xml.etree
import time:       411 |        411 |           xml.etree.ElementPath
import time:      1008 |       1008 |           _elementtree
import time:       612 |       2184 |         xml.etree.ElementTree
import time:         2 |          2 |         _elementtree
import time:      1943 |       4129 |       defusedxml.ElementTree
import time:      2774 |       2774 |       PIL._imaging
import time:      1264 |      11992 |     PIL.Image
import time:       246 |        246 |         PIL.GimpGradientFile
import time:       232 |        232 |         PIL.GimpPaletteFile
import time:       218 |        218 |         PIL.ImageColor
import time:       186 |        186 |         PIL.PaletteFile
import time:       309 |       1190 |       PIL.ImagePalette
import time:       401 |       1590 |     PIL.ImageOps
import time:       925 |      21668 |   mongoengine.fields
import time:       276 |     191532 | mongoengine
import time:       563 |        563 |             redis.exceptions
import time:       391 |        391 |             redis.typing
import time:       232 |        232 |             redis._parsers.encoders
import time:        40 |         40 |                 hiredis
import time:       301 |        340 |               redis.utils
import time:       237 |        576 |             redis._parsers.socket
import time:       423 |       2184 |           redis._parsers.base
import time:       328 |        328 |           redis._parsers.commands
import time:       347 |        347 |           redis._parsers.hiredis
import time:       235 |        235 |           redis._parsers.resp2
import time:       258 |        258 |           redis._parsers.resp3
import time:       127 |       3476 |         redis._parsers
import time:       393 |       3869 |       redis._parsers.helpers
import time:       230 |        230 |           redis.auth
import time:       211 |        211 |           redis.auth.err
import time:       281 |        721 |         redis.auth.token
import time:       162 |        162 |           redis.credentials
import time:       453 |        614 |         redis.event
import time:       404 |        404 |         redis.asyncio.retry
import time:       323 |        323 |         redis.backoff
import time:       882 |        882 |           redis.cache
import time:       156 |        156 |           redis.retry
import time:       205 |        205 |             importlib.metadata._text
import time:       269 |        473 |           importlib.metadata._adapters
import time:      1714 |       3225 |         redis.connection
import time:      1087 |       6372 |       redis.asyncio.connection
import time:       365 |        365 |       redis.asyncio.lock
import time:       174 |        174 |             redis.crc
import time:       157 |        157 |               redis.commands.helpers
import time:      3425 |       3581 |             redis.commands.core
import time:       369 |        369 |             redis.commands.redismodules
import time:       729 |       4852 |           redis.commands.cluster
import time:       164 |        164 |           redis.commands.sentinel
import time:       253 |       5268 |         redis.commands
import time:       303 |        303 |         redis.lock
import time:      1160 |       6731 |       redis.client
import time:      1212 |      18546 |     redis.asyncio.client
import time:      1200 |       1200 |       redis.cluster
import time:      1469 |       2668 |     redis.asyncio.cluster
import time:       334 |        334 |     redis.asyncio.sentinel
import time:       253 |        253 |     redis.asyncio.utils
import time:       192 |      21991 |   redis.asyncio
import time:       425 |        425 |   redis.sentinel
import time:       269 |      22685 | redis
import time:       203 |        203 |     pymongo._azure_helpers
import time:       199 |        199 |     pymongo._gcp_helpers
import time:      1190 |       1592 |   pymongo.auth_oidc_shared
import time:       432 |       2023 | pymongo.auth_shared
import time:       224 |        224 |         django.http.cookie
import time:       280 |        280 |           django.core.signing
import time:       169 |        169 |               django.core.files.temp
import time:       260 |        429 |             django.core.files.uploadedfile
import time:       281 |        709 |           django.core.files.uploadhandler
import time:       307 |        307 |           django.http.multipartparser
import time:       430 |       1724 |         django.http.request
import time:       184 |        184 |                     django.db.models.utils
import time:       245 |        429 |                   django.db.models.signals
import time:   1340408 |    1340408 |                                 django.template.loader
import time:   1352887 |    2693295 |                               django.forms.renderers
import time:   1334742 |    4028037 |                             django.forms.utils
import time:   1277247 |    1277247 |                                 django.templatetags
import time:   1454884 |    2732130 |                               django.templatetags.static
import time:   1438695 |    1438695 |                               django.utils.topological_sort
import time:   1419379 |    5590203 |                             django.forms.widgets
import time:   1421253 |   11039492 |                           django.forms.boundfield
import time:   1391335 |    1391335 |                               django.utils.deconstruct
import time:   1268070 |    1268070 |                               django.utils.ipv6
import time:   1303156 |    3962559 |                             django.core.validators
import time:   1333602 |    1333602 |                             django.utils.dateparse
import time:   1301727 |    1301727 |                             django.utils.duration
import time:   1419120 |    8017006 |                           django.forms.fields
import time:   1530908 |    1530908 |                           django.forms.forms
import time:   1888926 |    1888926 |                           django.forms.formsets
import time:   1508816 |    1508816 |                           django.forms.models
import time:   1369234 |   25354379 |                         django.forms
import time:   1289084 |    1289084 |                         django.db.models.constants
import time:   1362045 |    1362045 |                           django.utils.tree
import time:   1329231 |    2691275 |                         django.db.models.query_utils
import time:   1624699 |   30959435 |                       django.db.models.fields
import time:   1575486 |   32534921 |                     django.db.models.expressions
import time:   1481988 |    1481988 |                             django.db.models.lookups
import time:   1398831 |    1398831 |                             django.db.models.fields.mixins
import time:   1512288 |    4393105 |                           django.db.models.fields.json
import time:   1491677 |    5884782 |                         django.db.models.functions.comparison
import time:   1276180 |    1276180 |                         django.db.models.functions.datetime
import time:   1359843 |    1359843 |                           django.db.models.functions.mixins
import time:   1371205 |    2731048 |                         django.db.models.functions.math
import time:   1266976 |    1266976 |                         django.db.models.functions.text
import time:   1353864 |    1353864 |                         django.db.models.functions.window
import time:   1615959 |   14128807 |                       django.db.models.functions
import time:        81 |   14128888 |                     django.db.models.functions.comparison
import time:       543 |   46664350 |                   django.db.models.aggregates
import time:   1349853 |    1349853 |                         django.db.backends
import time:   1294761 |    2644613 |                       django.db.backends.utils
import time:   1353720 |    1353720 |                           django.db.models.fields.related_lookups
import time:   1377262 |    1377262 |                           django.db.models.sql.constants
import time:   1259942 |    1259942 |                           django.db.models.sql.datastructures
import time:   1472998 |    1472998 |                           django.db.models.sql.where
import time:   1359830 |    6823750 |                         django.db.models.sql.query
import time:   1373097 |    1373097 |                         django.db.models.sql.subqueries
import time:   1354942 |    9551788 |                       django.db.models.sql
import time:   1288041 |   13484441 |                     django.db.models.indexes
import time:   1371166 |   14855607 |                   django.db.models.constraints
import time:   1354038 |    1354038 |                     django.db.transaction
import time:   1448034 |    2802072 |                   django.db.models.deletion
import time:   1388563 |    1388563 |                   django.db.models.enums
import time:   1400003 |    1400003 |                     django.core.files.images
import time:   1291580 |    1291580 |                       django.core.files.storage.base
import time:   1264657 |    1264657 |                         django.core.files.storage.mixins
import time:   1317458 |    2582114 |                       django.core.files.storage.filesystem
import time:   1242954 |    1242954 |                       django.core.files.storage.handler
import time:   1500539 |    1500539 |                       django.core.files.storage.memory
import time:   1278571 |    7895756 |                     django.core.files.storage
import time:   1325229 |   10620987 |                   django.db.models.fields.files
import time:   1632356 |    1632356 |                   django.db.models.fields.proxy
import time:   1414986 |    1414986 |                     django.db.models.query
import time:   1293247 |    2708232 |                   django.db.models.manager
import time:   1396726 |    1396726 |                       django.db.models.fields.related_descriptors
import time:   3267142 |    3267142 |                       django.db.models.fields.reverse_related
import time:   1308719 |    5972585 |                     django.db.models.fields.related
