import time: self [us] | cumulative | imported package
import time:      1034 |      39510 |       pathlib._local
import time:      2080 |      43778 |     pathlib
import time:      2452 |       2452 |     django.conf.global_settings
import time:       919 |      47148 |   django.conf
import time:       388 |        388 |       django.core.checks.messages
import time:       302 |        302 |         django.utils.inspect
import time:       386 |        687 |       django.core.checks.registry
import time:       302 |        302 |       django.core.checks.async_checks
import time:       410 |        410 |               django.dispatch.dispatcher
import time:       197 |        607 |             django.dispatch
import time:       226 |        832 |           django.core.signals
import time:       209 |        209 |             django.core.cache.backends
import time:       363 |        572 |           django.core.cache.backends.base
import time:       253 |        253 |           django.utils.connection
import time:       461 |       2117 |         django.core.cache
import time:       326 |        326 |             _compat_pickle
import time:       757 |        757 |             _pickle
import time:      1729 |       2811 |           pickle
import time:      1342 |       1342 |               _bisect
import time:       321 |       1663 |             bisect
import time:       799 |        799 |             _random
import time:       744 |       3205 |           random
import time:       738 |        738 |               zlib
import time:       305 |        305 |                 _compression
import time:       729 |        729 |                 _bz2
import time:       399 |       1431 |               bz2
import time:      1571 |       1571 |                 _lzma
import time:       439 |       2009 |               lzma
import time:      1540 |       5718 |             shutil
import time:       618 |       6335 |           tempfile
import time:       262 |        262 |               django.core.files.utils
import time:       426 |        688 |             django.core.files.base
import time:      6612 |       7300 |           django.core.files
import time:       224 |        224 |           django.core.files.locks
import time:       250 |        250 |           django.core.files.move
import time:      1142 |       1142 |               _hashlib
import time:       942 |        942 |               _blake2
import time:       354 |       2437 |             hashlib
import time:       396 |        396 |             hmac
import time:       212 |        212 |             secrets
import time:      1171 |       1171 |                   numbers
import time:      1450 |       2621 |                 _decimal
import time:       224 |       2844 |               decimal
import time:       318 |        318 |                 urllib
import time:      1185 |       1185 |                 ipaddress
import time:      1399 |       2901 |               urllib.parse
import time:       433 |       6178 |             django.utils.encoding
import time:       464 |       9685 |           django.utils.crypto
import time:       344 |      30151 |         django.core.cache.backends.filebased
import time:       283 |      32550 |       django.core.checks.caches
import time:       478 |        478 |         django.core.checks.compatibility
import time:       617 |       1095 |       django.core.checks.compatibility.django_4_0
import time:       674 |        674 |           django.db.utils
import time:       750 |       1424 |         django.db
import time:       465 |       1888 |       django.core.checks.database
import time:       278 |        278 |       django.core.checks.files
import time:       355 |        355 |       django.core.checks.model_checks
import time:       185 |        185 |         django.core.checks.security
import time:       518 |        703 |       django.core.checks.security.base
import time:       271 |        271 |       django.core.checks.security.csrf
import time:       288 |        288 |       django.core.checks.security.sessions
import time:       383 |        383 |                   django.template.context
import time:       769 |        769 |                     unicodedata
import time:       989 |        989 |                       calendar
import time:       225 |        225 |                         email
import time:       277 |        277 |                         email._parseaddr
import time:       615 |       1115 |                       email.utils
import time:       717 |        717 |                             termios
import time:        42 |         42 |                             pywatchman
import time:       398 |       1157 |                           django.utils.autoreload
import time:       242 |       1398 |                         django.utils.translation
import time:       333 |       1731 |                       django.utils.dates
import time:       410 |        410 |                             sysconfig
import time:       537 |        537 |                             _sysconfigdata__darwin_darwin
import time:       312 |        312 |                             _osx_support
import time:       953 |       2210 |                           zoneinfo._tzpath
import time:       212 |        212 |                           zoneinfo._common
import time:       777 |        777 |                           _zoneinfo
import time:       220 |       3418 |                         zoneinfo
import time:       189 |       3606 |                       django.utils.timezone
import time:       386 |       7826 |                     django.utils.dateformat
import time:       290 |        290 |                       django.utils.safestring
import time:       238 |        528 |                     django.utils.numberformat
import time:       220 |       9341 |                   django.utils.formats
import time:       844 |        844 |                       html.entities
import time:       467 |       1311 |                     html
import time:       811 |        811 |                           _json
import time:       479 |       1290 |                         json.scanner
import time:       361 |       1651 |                       json.decoder
import time:       244 |        244 |                       json.encoder
import time:       276 |       2170 |                     json
import time:       347 |        347 |                       _markupbase
import time:       785 |       1131 |                     html.parser
import time:       352 |        352 |                       django.utils.datastructures
import time:       350 |        701 |                     django.utils.http
import time:       362 |        362 |                       gzip
import time:       394 |        755 |                     django.utils.text
import time:       915 |       6981 |                   django.utils.html
import time:       228 |        228 |                   django.template.exceptions
import time:       792 |      17723 |                 django.template.base
import time:       337 |        337 |                 django.template.library
import time:       260 |      18319 |               django.template.engine
import time:       272 |        272 |               django.template.utils
import time:       112 |        112 |                   django.template.backends
import time:       198 |        198 |                     django.utils._os
import time:       185 |        382 |                   django.template.backends.base
import time:       272 |        766 |                 django.template.backends.django
import time:       200 |        965 |               django.template.autoreload
import time:       195 |      19749 |             django.template
import time:         8 |      19757 |           django.template.backends
import time:        14 |      19770 |         django.template.backends.django
import time:       323 |      20093 |       django.core.checks.templates
import time:       250 |        250 |           django.conf.locale
import time:       361 |        610 |         django.utils.translation.trans_real
import time:       470 |       1080 |       django.core.checks.translation
import time:       191 |        191 |       django.core.checks.urls
import time:       497 |      60659 |     django.core.checks
import time:      1263 |       1263 |       django.utils.termcolors
import time:        45 |         45 |       colorama
import time:       231 |       1539 |     django.core.management.color
import time:       940 |      63136 |   django.core.management.base
import time:       463 |     190957 | django.core.management
import time:       825 |        825 |     dotenv.parser
import time:       250 |        250 |     dotenv.variables
import time:       474 |       1548 |   dotenv.main
import time:       229 |       1777 | dotenv
import time:       236 |        236 |       __future__
import time:       573 |        573 |       pymongo._csot
import time:       303 |        303 |       pymongo._version
import time:       219 |        219 |         pymongo.asynchronous
import time:      1014 |       1014 |               _uuid
import time:       526 |       1540 |             uuid
import time:       677 |        677 |             bson.binary
import time:       369 |        369 |             bson.code
import time:       394 |        394 |               bson.typings
import time:      1795 |       2189 |             bson.codec_options
import time:       301 |        301 |               bson.errors
import time:       262 |        262 |               bson.tz_util
import time:       510 |       1072 |             bson.datetime_ms
import time:       189 |        189 |               bson._helpers
import time:       303 |        303 |               bson.son
import time:       281 |        772 |             bson.dbref
import time:       322 |        322 |             bson.decimal128
import time:       181 |        181 |             bson.int64
import time:       162 |        162 |             bson.max_key
import time:       493 |        493 |             bson.min_key
import time:       446 |        446 |             bson.objectid
import time:       260 |        260 |             bson.regex
import time:       199 |        199 |             bson.timestamp
import time:      1512 |       1512 |             bson._cbson
import time:       849 |      11036 |           bson
import time:        13 |      11048 |         bson.codec_options
import time:       420 |        420 |           bson.raw_bson
import time:       395 |        395 |               pymongo.server_type
import time:       337 |        337 |               pymongo.typings
import time:       350 |       1081 |             pymongo.hello
import time:       485 |        485 |               pymongo.errors
import time:       314 |        799 |             pymongo.helpers_shared
import time:       207 |       2085 |           pymongo.compression_support
import time:       287 |        287 |           pymongo.driver_info
import time:       952 |        952 |           pymongo.monitoring
import time:       287 |        287 |           pymongo.read_concern
import time:       126 |        126 |             pymongo.max_staleness_selectors
import time:       171 |        171 |             pymongo.server_selectors
import time:       888 |       1184 |           pymongo.read_preferences
